Kingdom,Phylum,Class,Order,Family,Genus,Species,num_hits,%_hits
Unclassified,,,,,,,5453,0.112
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,482362,9.892
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,atypica,244792,5.020
Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Leptotrichiaceae,Leptotrichia,,238537,4.892
Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae,Gemella,,161262,3.307
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,152131,3.120
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,tigurinus,138613,2.843
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pallens,134081,2.750
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,histicola,124472,2.553
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,salivae,114652,2.351
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,101626,2.084
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae,93660,1.921
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas,,90386,1.854
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,parasanguinis,84049,1.724
Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae,Gemella,cunicula,81220,1.666
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pseudopneumoniae,79209,1.624
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,parvula,74515,1.528
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,mucosa,71514,1.467
